timestamp,cpu_percent,ram_percent,cpu_freq
2026-02-08T11:23:23.453430,5.7,15.5,2100.0
2026-02-08T11:23:23.954411,4.7,15.5,2100.0
2026-02-08T11:23:24.455173,6.6,15.5,2100.0
2026-02-08T11:23:24.955897,5.6,15.5,2100.0
2026-02-08T11:23:25.457328,6.0,15.5,2100.0
2026-02-08T11:23:25.957929,10.3,15.5,2100.0
2026-02-08T11:23:26.458774,8.3,15.5,2100.0
2026-02-08T11:23:26.962686,5.7,15.5,2100.0
2026-02-08T11:23:27.463205,8.8,15.5,2100.0
2026-02-08T11:23:27.964163,4.0,15.5,2100.0
2026-02-08T11:23:28.464935,7.3,15.5,2100.0
2026-02-08T11:23:28.965525,5.6,15.5,2100.0
2026-02-08T11:23:29.466086,8.6,15.5,2100.0
2026-02-08T11:23:29.966760,4.2,15.5,2100.0
2026-02-08T11:23:30.467475,7.5,15.5,2100.0
2026-02-08T11:23:30.968290,6.8,15.5,2100.0
2026-02-08T11:23:31.469330,6.0,15.5,2100.0
2026-02-08T11:23:31.969938,11.3,15.5,2100.0
2026-02-08T11:23:32.470698,10.2,15.5,2100.0
2026-02-08T11:23:32.971404,4.7,15.5,2100.0
2026-02-08T11:23:33.472164,7.3,15.5,2100.0
2026-02-08T11:23:33.973192,14.2,15.6,2100.0
2026-02-08T11:23:34.474208,11.1,15.6,2100.0
2026-02-08T11:23:34.974957,10.0,15.6,2100.0
2026-02-08T11:23:35.475720,7.3,15.6,2100.0
2026-02-08T11:23:35.977005,7.6,15.6,2100.0
2026-02-08T11:23:36.478242,4.4,15.6,2100.0
2026-02-08T11:23:36.979772,8.8,15.6,2100.0
2026-02-08T11:23:37.480613,7.0,15.6,2100.0
2026-02-08T11:23:37.981255,5.4,15.6,2100.0
2026-02-08T11:23:38.481968,9.0,15.6,2100.0
2026-02-08T11:23:38.982835,8.8,15.6,2100.0
2026-02-08T11:23:39.483473,15.6,15.6,2100.0
2026-02-08T11:23:39.984187,5.5,15.6,2100.0
2026-02-08T11:23:40.485139,8.3,15.6,2100.0
2026-02-08T11:23:40.986030,6.4,15.6,2100.0
2026-02-08T11:23:41.486625,9.4,15.6,2100.0
2026-02-08T11:23:41.987533,6.5,15.6,2100.0
2026-02-08T11:23:42.488021,8.4,15.6,2100.0
2026-02-08T11:23:42.988912,4.8,15.6,2100.0
2026-02-08T11:23:43.489980,12.4,15.6,2100.0
2026-02-08T11:23:43.990933,4.4,15.6,2100.0
2026-02-08T11:23:44.491762,11.9,15.6,2100.0
2026-02-08T11:23:44.992470,3.4,15.6,2100.0
2026-02-08T11:23:45.494400,7.0,15.6,2100.0
2026-02-08T11:23:45.995340,4.7,15.6,2100.0
2026-02-08T11:23:46.495753,6.7,15.5,2100.0
2026-02-08T11:23:46.996890,7.0,15.6,2100.0
2026-02-08T11:23:47.498164,9.4,15.6,2100.0
2026-02-08T11:23:47.999018,9.1,15.6,2100.0
2026-02-08T11:23:48.499499,4.4,15.6,2100.0
2026-02-08T11:23:49.000055,3.6,15.6,2100.0
2026-02-08T11:23:49.500466,14.6,15.6,2100.0
2026-02-08T11:23:50.003207,5.6,15.6,2100.0
2026-02-08T11:23:50.504030,7.3,15.6,2100.0
2026-02-08T11:23:51.004808,6.5,15.6,2100.0
2026-02-08T11:23:51.505563,7.3,15.6,2100.0
2026-02-08T11:23:52.006141,4.9,15.6,2100.0
2026-02-08T11:23:52.527123,8.7,15.6,2100.0
2026-02-08T11:23:53.027523,6.3,15.6,2100.0
2026-02-08T11:23:53.528022,6.8,15.6,2100.0
2026-02-08T11:23:54.028635,5.7,15.6,2100.0
2026-02-08T11:23:54.529321,5.5,15.6,2100.0
2026-02-08T11:23:55.031195,4.9,15.6,2100.0
2026-02-08T11:23:55.532124,10.0,15.6,2100.0
2026-02-08T11:23:56.033078,4.2,15.6,2100.0
2026-02-08T11:23:56.533872,8.8,15.6,2100.0
2026-02-08T11:23:57.034793,10.9,15.6,2100.0
2026-02-08T11:23:57.535344,6.2,15.6,2100.0
2026-02-08T11:23:58.036218,4.6,15.6,2100.0
2026-02-08T11:23:58.536911,9.5,15.6,2100.0
2026-02-08T11:23:59.038654,3.5,15.6,2100.0
2026-02-08T11:23:59.539517,10.6,15.6,2100.0
2026-02-08T11:24:00.040062,3.9,15.6,2100.0
2026-02-08T11:24:00.540734,9.2,15.6,2100.0
2026-02-08T11:24:01.042170,3.5,15.6,2100.0
2026-02-08T11:24:01.542880,10.4,15.6,2100.0
2026-02-08T11:24:02.043412,6.0,15.6,2100.0
2026-02-08T11:24:02.544776,11.0,15.6,2100.0
2026-02-08T11:24:03.045290,7.0,15.6,2100.0
2026-02-08T11:24:03.545744,11.4,15.6,2100.0
2026-02-08T11:24:04.046462,4.3,15.6,2100.0
2026-02-08T11:24:04.546909,10.9,15.6,2100.0
2026-02-08T11:24:05.047691,4.4,15.6,2100.0
2026-02-08T11:24:05.548432,7.8,15.6,2100.0
2026-02-08T11:24:06.048948,3.3,15.6,2100.0
2026-02-08T11:24:06.549697,5.6,15.6,2100.0
2026-02-08T11:24:07.050548,8.8,15.5,2100.0
2026-02-08T11:24:07.551796,11.1,15.5,2100.0
2026-02-08T11:24:08.052389,5.1,15.5,2100.0
2026-02-08T11:24:08.552897,9.3,15.6,2100.0
2026-02-08T11:24:09.053381,5.7,15.5,2100.0
2026-02-08T11:24:09.554090,12.9,15.5,2100.0
2026-02-08T11:24:10.055382,5.8,15.5,2100.0
2026-02-08T11:24:10.556511,10.0,15.5,2100.0
2026-02-08T11:24:11.057525,3.7,15.5,2100.0
2026-02-08T11:24:11.558062,6.2,15.5,2100.0
2026-02-08T11:24:12.059725,5.3,15.5,2100.0
2026-02-08T11:24:12.560365,7.8,15.5,2100.0
2026-02-08T11:24:13.061088,6.5,15.5,2100.0
2026-02-08T11:24:13.562133,7.9,15.5,2100.0
2026-02-08T11:24:14.062666,6.5,15.5,2100.0
2026-02-08T11:24:14.563314,8.1,15.5,2100.0
2026-02-08T11:24:15.063778,3.7,15.5,2100.0
2026-02-08T11:24:15.564708,5.7,15.5,2100.0
2026-02-08T11:24:16.065264,6.2,15.5,2100.0
2026-02-08T11:24:16.565701,5.1,15.5,2100.0
2026-02-08T11:24:17.066239,5.6,15.5,2100.0
2026-02-08T11:24:17.566711,6.9,15.5,2100.0
2026-02-08T11:24:18.067266,6.3,15.5,2100.0
2026-02-08T11:24:18.568176,7.7,15.5,2100.0
2026-02-08T11:24:19.069105,6.3,15.5,2100.0
2026-02-08T11:24:19.570335,6.6,15.5,2100.0
2026-02-08T11:24:20.071359,7.1,15.5,2100.0
2026-02-08T11:24:20.572059,6.4,15.5,2100.0
2026-02-08T11:24:21.072666,6.6,15.5,2100.0
2026-02-08T11:24:21.574185,5.8,15.5,2100.0
2026-02-08T11:24:22.074871,5.3,15.5,2100.0
2026-02-08T11:24:22.575779,4.8,15.5,2100.0
2026-02-08T11:24:23.077012,8.6,15.5,2100.0
2026-02-08T11:24:23.577605,5.6,15.5,2100.0
2026-02-08T11:24:24.078161,6.2,15.5,2100.0
2026-02-08T11:24:24.578868,4.4,15.5,2100.0
2026-02-08T11:24:25.079257,9.9,15.5,2100.0
2026-02-08T11:24:25.579710,4.1,15.5,2100.0
2026-02-08T11:24:26.080537,6.4,15.5,2100.0
2026-02-08T11:24:26.581286,6.7,15.5,2100.0
2026-02-08T11:24:27.082329,5.4,15.5,2100.0
2026-02-08T11:24:27.583111,5.6,15.5,2100.0
2026-02-08T11:24:28.083648,8.5,15.5,2100.0
2026-02-08T11:24:28.584294,7.0,15.5,2100.0
2026-02-08T11:24:29.084742,7.3,15.5,2100.0
2026-02-08T11:24:29.585363,9.7,15.5,2100.0
2026-02-08T11:24:30.085795,5.6,15.5,2100.0
2026-02-08T11:24:30.587059,5.0,15.5,2100.0
2026-02-08T11:24:31.088291,4.6,15.5,2100.0
2026-02-08T11:24:31.589062,5.8,15.5,2100.0
2026-02-08T11:24:32.089623,8.1,15.5,2100.0
2026-02-08T11:24:32.590096,7.5,15.5,2100.0
2026-02-08T11:24:33.091263,6.0,15.5,2100.0
2026-02-08T11:24:33.592555,7.1,15.5,2100.0
2026-02-08T11:24:34.092967,5.5,15.5,2100.0
2026-02-08T11:24:34.593512,10.7,15.5,2100.0
2026-02-08T11:24:35.094505,5.3,15.5,2100.0
2026-02-08T11:24:35.597030,10.0,15.5,2100.0
2026-02-08T11:24:36.097914,6.5,15.5,2100.0
2026-02-08T11:24:36.598680,4.2,15.5,2100.0
2026-02-08T11:24:37.099239,5.3,15.5,2100.0
2026-02-08T11:24:37.599726,4.9,15.5,2100.0
2026-02-08T11:24:38.100448,7.8,15.5,2100.0
2026-02-08T11:24:38.601484,6.2,15.5,2100.0
2026-02-08T11:24:39.103290,6.7,15.5,2100.0
2026-02-08T11:24:39.604643,7.8,15.5,2100.0
2026-02-08T11:24:40.106695,5.2,15.5,2100.0
2026-02-08T11:24:40.607160,5.3,15.5,2100.0
2026-02-08T11:24:41.107611,5.7,15.5,2100.0
2026-02-08T11:24:41.609046,5.2,15.5,2100.0
2026-02-08T11:24:42.109997,6.3,15.5,2100.0
2026-02-08T11:24:42.611601,5.4,15.5,2100.0
2026-02-08T11:24:43.112316,3.4,15.5,2100.0
2026-02-08T11:24:43.613199,6.8,15.5,2100.0
2026-02-08T11:24:44.113778,4.3,15.5,2100.0
2026-02-08T11:24:44.614767,9.7,15.5,2100.0
2026-02-08T11:24:45.115353,4.4,15.5,2100.0
2026-02-08T11:24:45.615825,8.1,15.5,2100.0
2026-02-08T11:24:46.116248,5.6,15.5,2100.0
2026-02-08T11:24:46.616903,5.1,15.5,2100.0
2026-02-08T11:24:47.117516,5.1,15.5,2100.0
2026-02-08T11:24:47.618274,12.1,15.5,2100.0
2026-02-08T11:24:48.118794,5.6,15.5,2100.0
2026-02-08T11:24:48.620397,11.4,15.5,2100.0
2026-02-08T11:24:49.120968,5.3,15.5,2100.0
2026-02-08T11:24:49.621712,7.0,15.5,2100.0
2026-02-08T11:24:50.126433,4.0,15.5,2100.0
2026-02-08T11:24:50.627250,6.6,15.5,2100.0
2026-02-08T11:24:51.128109,6.9,15.5,2100.0
2026-02-08T11:24:51.628684,7.1,15.5,2100.0
2026-02-08T11:24:52.129616,6.6,15.5,2100.0
